sourceId,status,dateLastModified,metadata,username,userIds,enabledUser,givenName,familyName,middleName,role,identifier,email,sms,phone,agents,orgs,grades,password
,active,2024-06-17T09:29:54.683Z,,,,true,Tom,Miller,,student,997_STU_75500001,,,7775559898,[],"[{'href': '~/ims/oneroster/v1p1/orgs/997', 'sourcedId': '997', 'type': 'org'}]",['12'],
,active,2024-06-17T09:29:54.747Z,,,,true,Brandy,Burnett,,student,997_STU_75500002,,,7776565656,[],"[{'href': '~/ims/oneroster/v1p1/orgs/997', 'sourcedId': '997', 'type': 'org'}]",['11'],
,active,2023-07-11T01:04:43.150Z,,ashlea.lowery@example.com,,true,Ashlea,Lowery,,student,997_STU_75500005,ashlea.lowery@example.com,,7772037661,[],"[{'href': '~/ims/oneroster/v1p1/orgs/997', 'sourcedId': '997', 'type': 'org'}]",['11'],
,active,2023-07-11T01:04:43.150Z,,dwayne.bellamy@example.com,,true,Bellamy,Dwayne,,student,997_STU_75500006,dwayne.bellamy@example.com,,7774454822,[],"[{'href': '~/ims/oneroster/v1p1/orgs/997', 'sourcedId': '997', 'type': 'org'}]",['11'],
,active,2024-06-17T09:18:09.620Z,,student884@aeries.com,"[{'type': 'CA', 'identifier': '8840000001'}]",true,Andrew,Abbott,James,student,884_STU_88400001,student884@aeries.com,,3095556185,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['12'],
,active,2024-06-17T09:18:09.653Z,,L.Gillespie@example.com,"[{'type': 'CA', 'identifier': '8840000002'}]",true,Lorelai,Gillespie,Julia,student,884_STU_88400002,L.Gillespie@example.com,,1515556270,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['09'],
,active,2024-06-17T09:18:09.717Z,,A.Weaver@example.com,"[{'type': 'CA', 'identifier': '8840000003'}]",true,Aiyana,Weaver,Aylin,student,884_STU_88400003,A.Weaver@example.com,,1375555434,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['09'],
,active,2024-06-17T09:18:09.780Z,,J.Padilla@example.com,"[{'type': 'CA', 'identifier': '8840000004'}]",true,Jabari,Padilla,Marquise,student,884_STU_88400004,J.Padilla@example.com,,2475553468,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:09.827Z,,H.Rivera@example.com,"[{'type': 'CA', 'identifier': '8840000005'}]",true,Heidi,Rivera,Alena,student,884_STU_88400005,H.Rivera@example.com,,1875558684,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['12'],
,active,2024-06-17T09:18:09.887Z,,A.Hull@example.com,"[{'type': 'CA', 'identifier': '8840000006'}]",true,Aniya,Hull,America,student,884_STU_88400006,A.Hull@example.com,,2915551471,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
